No.	Code	Emoji	Description
233	U+1F647
U+200D U+2640 U+FE0F	🙇‍♀️	woman bowing
234	U+1F926	🤦	person facepalming
235	U+1F926
U+200D U+2642 U+FE0F	🤦‍♂️	man facepalming
236	U+1F926
U+200D U+2640 U+FE0F	🤦‍♀️	woman facepalming
237	U+1F937	🤷	person shrugging
238	U+1F937
U+200D U+2642 U+FE0F	🤷‍♂️	man shrugging
239	U+1F937
U+200D U+2640 U+FE0F	🤷‍♀️	woman shrugging
person-role
No.	Code	Emoji	Description
240	U+1F468
U+200D U+2695 U+FE0F	👨‍⚕️	man health worker
241	U+1F469
U+200D U+2695 U+FE0F	👩‍⚕️	woman health worker
242	U+1F468
U+200D U+1F393	👨‍🎓	man student
243	U+1F469
U+200D U+1F393	👩‍🎓	woman student
244	U+1F468
U+200D U+1F3EB	👨‍🏫	man teacher
245	U+1F469
U+200D U+1F3EB	👩‍🏫	woman teacher
246	U+1F468
U+200D U+2696 U+FE0F	👨‍⚖️	man judge
247	U+1F469
U+200D U+2696 U+FE0F	👩‍⚖️	woman judge
248	U+1F468
U+200D U+1F33E	👨‍🌾	man farmer
249	U+1F469
U+200D U+1F33E	👩‍🌾	woman farmer
250	U+1F468
U+200D U+1F373	👨‍🍳	man cook
251	U+1F469
U+200D U+1F373	👩‍🍳	woman cook
252	U+1F468
U+200D U+1F527	👨‍🔧	man mechanic
253	U+1F469
U+200D U+1F527	👩‍🔧	woman mechanic
254	U+1F468
U+200D U+1F3ED	👨‍🏭	man factory worker
255	U+1F469
U+200D U+1F3ED	👩‍🏭	woman factory worker
256	U+1F468
U+200D U+1F4BC	👨‍💼	man office worker
257	U+1F469
U+200D U+1F4BC	👩‍💼	woman office worker
258	U+1F468
U+200D U+1F52C	👨‍🔬	man scientist
259	U+1F469
U+200D U+1F52C	👩‍🔬	woman scientist
No.	Code	Emoji	Description
260	U+1F468
U+200D U+1F4BB	👨‍💻	man technologist
261	U+1F469
U+200D U+1F4BB	👩‍💻	woman technologist
262	U+1F468
U+200D U+1F3A4	👨‍🎤	man singer
263	U+1F469
U+200D U+1F3A4	👩‍🎤	woman singer
264	U+1F468
U+200D U+1F3A8	👨‍🎨	man artist
265	U+1F469
U+200D U+1F3A8	👩‍🎨	woman artist
266	U+1F468
U+200D U+2708 U+FE0F	👨‍✈️	man pilot
267	U+1F469
U+200D U+2708 U+FE0F	👩‍✈️	woman pilot
268	U+1F468
U+200D U+1F680	👨‍🚀	man astronaut
269	U+1F469
U+200D U+1F680	👩‍🚀	woman astronaut
270	U+1F468
U+200D U+1F692	👨‍🚒	man firefighter
271	U+1F469
U+200D U+1F692	👩‍🚒	woman firefighter
272	U+1F46E	👮	police officer
273	U+1F46E
U+200D U+2642 U+FE0F	👮‍♂️	man police officer
274	U+1F46E
U+200D U+2640 U+FE0F	👮‍♀️	woman police officer
275	U+1F575	🕵	detective
276	U+1F575
U+FE0F U+200D U+2642 U+FE0F	🕵️‍♂️	man detective
277	U+1F575
U+FE0F U+200D U+2640 U+FE0F	🕵️‍♀️	woman detective
278	U+1F482	💂	guard
279	U+1F482
U+200D U+2642 U+FE0F	💂‍♂️	man guard
No.	Code	Emoji	Description
280	U+1F482
U+200D U+2640 U+FE0F	💂‍♀️	woman guard
281	U+1F477	👷	construction worker
282	U+1F477
U+200D U+2642 U+FE0F	👷‍♂️	man construction worker
283	U+1F477
U+200D U+2640 U+FE0F	👷‍♀️	woman construction worker
284	U+1F934	🤴	prince
285	U+1F478	👸	princess
286	U+1F473	👳	person wearing turban
287	U+1F473
U+200D U+2642 U+FE0F	👳‍♂️	man wearing turban
288	U+1F473
U+200D U+2640 U+FE0F	👳‍♀️	woman wearing turban
289	U+1F472	👲	man with Chinese cap
290	U+1F9D5	🧕	woman with headscarf
291	U+1F935	🤵	man in tuxedo
292	U+1F470	👰	bride with veil
293	U+1F930	🤰	pregnant woman
294	U+1F931	🤱	breast-feeding
person-fantasy
No.	Code	Emoji	Description
295	U+1F47C	👼	baby angel
296	U+1F385	🎅	Santa Claus
297	U+1F936	🤶	Mrs. Claus
298	U+1F9B8	🦸	⊛ superhero
299	U+1F9B8
U+200D U+2642 U+FE0F	🦸‍♂️	⊛ man superhero
300	U+1F9B8
U+200D U+2640 U+FE0F	🦸‍♀️	⊛ woman superhero
301	U+1F9B9	🦹	⊛ supervillain
302	U+1F9B9
U+200D U+2642 U+FE0F	🦹‍♂️	⊛ man supervillain
303	U+1F9B9
U+200D U+2640 U+FE0F	🦹‍♀️	⊛ woman supervillain
304	U+1F9D9	🧙	mage
305	U+1F9D9
U+200D U+2642 U+FE0F	🧙‍♂️	man mage
306	U+1F9D9
U+200D U+2640 U+FE0F	🧙‍♀️	woman mage
307	U+1F9DA	🧚	fairy
308	U+1F9DA
U+200D U+2642 U+FE0F	🧚‍♂️	man fairy
309	U+1F9DA
U+200D U+2640 U+FE0F	🧚‍♀️	woman fairy
310	U+1F9DB	🧛	vampire
311	U+1F9DB
U+200D U+2642 U+FE0F	🧛‍♂️	man vampire
312	U+1F9DB
U+200D U+2640 U+FE0F	🧛‍♀️	woman vampire
313	U+1F9DC	🧜	merperson
314	U+1F9DC
U+200D U+2642 U+FE0F	🧜‍♂️	merman
No.	Code	Emoji	Description
315	U+1F9DC
U+200D U+2640 U+FE0F	🧜‍♀️	mermaid
316	U+1F9DD	🧝	elf
317	U+1F9DD
U+200D U+2642 U+FE0F	🧝‍♂️	man elf
318	U+1F9DD
U+200D U+2640 U+FE0F	🧝‍♀️	woman elf
319	U+1F9DE	🧞	genie
320	U+1F9DE
U+200D U+2642 U+FE0F	🧞‍♂️	man genie
321	U+1F9DE
U+200D U+2640 U+FE0F	🧞‍♀️	woman genie
322	U+1F9DF	🧟	zombie
323	U+1F9DF
U+200D U+2642 U+FE0F	🧟‍♂️	man zombie
324	U+1F9DF
U+200D U+2640 U+FE0F	🧟‍♀️	woman zombie
person-activity
No.	Code	Emoji	Description
325	U+1F486	💆	person getting massage
326	U+1F486
U+200D U+2642 U+FE0F	💆‍♂️	man getting massage
327	U+1F486
U+200D U+2640 U+FE0F	💆‍♀️	woman getting massage
328	U+1F487	💇	person getting haircut
329	U+1F487
U+200D U+2642 U+FE0F	💇‍♂️	man getting haircut
330	U+1F487
U+200D U+2640 U+FE0F	💇‍♀️	woman getting haircut
331	U+1F6B6	🚶	person walking
332	U+1F6B6
U+200D U+2642 U+FE0F	🚶‍♂️	man walking
333	U+1F6B6
U+200D U+2640 U+FE0F	🚶‍♀️	woman walking
334	U+1F3C3	🏃	person running
335	U+1F3C3
U+200D U+2642 U+FE0F	🏃‍♂️	man running
336	U+1F3C3
U+200D U+2640 U+FE0F	🏃‍♀️	woman running
337	U+1F483	💃	woman dancing
338	U+1F57A	🕺	man dancing
339	U+1F574	🕴	man in suit levitating
340	U+1F46F	👯	people with bunny ears
341	U+1F46F
U+200D U+2642 U+FE0F	👯‍♂️	men with bunny ears
342	U+1F46F
U+200D U+2640 U+FE0F	👯‍♀️	women with bunny ears
343	U+1F9D6	🧖	person in steamy room
344	U+1F9D6
U+200D U+2642 U+FE0F	🧖‍♂️	man in steamy room
No.	Code	Emoji	Description
345	U+1F9D6
U+200D U+2640 U+FE0F	🧖‍♀️	woman in steamy room
346	U+1F9D7	🧗	person climbing
347	U+1F9D7
U+200D U+2642 U+FE0F	🧗‍♂️	man climbing
348	U+1F9D7
U+200D U+2640 U+FE0F	🧗‍♀️	woman climbing
person-sport
No.	Code	Emoji	Description
349	U+1F93A	🤺	person fencing
350	U+1F3C7	🏇	horse racing
351	U+26F7	⛷	skier
352	U+1F3C2	🏂	snowboarder
353	U+1F3CC	🏌	person golfing
354	U+1F3CC
U+FE0F U+200D U+2642 U+FE0F	🏌️‍♂️	man golfing
355	U+1F3CC
U+FE0F U+200D U+2640 U+FE0F	🏌️‍♀️	woman golfing
356	U+1F3C4	🏄	person surfing
357	U+1F3C4
U+200D U+2642 U+FE0F	🏄‍♂️	man surfing
358	U+1F3C4
U+200D U+2640 U+FE0F	🏄‍♀️	woman surfing
359	U+1F6A3	🚣	person rowing boat
360	U+1F6A3
U+200D U+2642 U+FE0F	🚣‍♂️	man rowing boat
361	U+1F6A3
U+200D U+2640 U+FE0F	🚣‍♀️	woman rowing boat
362	U+1F3CA	🏊	person swimming
363	U+1F3CA
U+200D U+2642 U+FE0F	🏊‍♂️	man swimming
364	U+1F3CA
U+200D U+2640 U+FE0F	🏊‍♀️	woman swimming
365	U+26F9	⛹	person bouncing ball
366	U+26F9
U+FE0F U+200D U+2642 U+FE0F	⛹️‍♂️	man bouncing ball
367	U+26F9
U+FE0F U+200D U+2640 U+FE0F	⛹️‍♀️	woman bouncing ball
368	U+1F3CB	🏋	person lifting weights
No.	Code	Emoji	Description
369	U+1F3CB
U+FE0F U+200D U+2642 U+FE0F	🏋️‍♂️	man lifting weights
370	U+1F3CB
U+FE0F U+200D U+2640 U+FE0F	🏋️‍♀️	woman lifting weights
371	U+1F6B4	🚴	person biking
372	U+1F6B4
U+200D U+2642 U+FE0F	🚴‍♂️	man biking
373	U+1F6B4
U+200D U+2640 U+FE0F	🚴‍♀️	woman biking
374	U+1F6B5	🚵	person mountain biking
375	U+1F6B5
U+200D U+2642 U+FE0F	🚵‍♂️	man mountain biking
376	U+1F6B5
U+200D U+2640 U+FE0F	🚵‍♀️	woman mountain biking
377	U+1F938	🤸	person cartwheeling
378	U+1F938
U+200D U+2642 U+FE0F	🤸‍♂️	man cartwheeling
379	U+1F938
U+200D U+2640 U+FE0F	🤸‍♀️	woman cartwheeling
380	U+1F93C	🤼	people wrestling
381	U+1F93C
U+200D U+2642 U+FE0F	🤼‍♂️	men wrestling
382	U+1F93C
U+200D U+2640 U+FE0F	🤼‍♀️	women wrestling
383	U+1F93D	🤽	person playing water polo
384	U+1F93D
U+200D U+2642 U+FE0F	🤽‍♂️	man playing water polo
385	U+1F93D
U+200D U+2640 U+FE0F	🤽‍♀️	woman playing water polo
386	U+1F93E	🤾	person playing handball
387	U+1F93E
U+200D U+2642 U+FE0F	🤾‍♂️	man playing handball
388	U+1F93E
U+200D U+2640 U+FE0F	🤾‍♀️	woman playing handball
No.	Code	Emoji	Description
389	U+1F939	🤹	person juggling
390	U+1F939
U+200D U+2642 U+FE0F	🤹‍♂️	man juggling
391	U+1F939
U+200D U+2640 U+FE0F	🤹‍♀️	woman juggling
person-resting
No.	Code	Emoji	Description
392	U+1F9D8	🧘	person in lotus position
393	U+1F9D8
U+200D U+2642 U+FE0F	🧘‍♂️	man in lotus position
394	U+1F9D8
U+200D U+2640 U+FE0F	🧘‍♀️	woman in lotus position
395	U+1F6C0	🛀	person taking bath
396	U+1F6CC	🛌	person in bed
family
No.	Code	Emoji	Description
397	U+1F46D	👭	women holding hands
398	U+1F46B	👫	woman and man holding hands
399	U+1F46C	👬	men holding hands
400	U+1F48F	💏	kiss
401	U+1F469 U+200D
U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468	👩‍❤️‍💋‍👨	kiss: woman, man
402	U+1F468 U+200D
